"filename", "language", "JSON", "Markdown", "Docker", "JSON with Comments", "Shell Script", "TypeScript", "JavaScript", "HTML", "CSS", "SCSS", "Python", "comment", "blank", "total"
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-alternativas/cadastrar-alternativas.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-alternativas/cadastrar-alternativas.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-alternativas/cadastrar-alternativas.component.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 13, 29
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-assuntos/cadastrar-assuntos.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-assuntos/cadastrar-assuntos.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 11, 30
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-assuntos/cadastrar-assuntos.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-assuntos/cadastrar-assuntos.component.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 23, 74
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-conceitos/cadastrar-conceitos.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-conceitos/cadastrar-conceitos.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-conceitos/cadastrar-conceitos.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-conceitos/cadastrar-conceitos.component.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 11, 55
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-parson/cadastrar-parson.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-parson/cadastrar-parson.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 12, 97
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-parson/cadastrar-parson.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-parson/cadastrar-parson.component.ts", "TypeScript", 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 2, 29, 176
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-questao-regex/cadastrar-questao-regex.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-questao-regex/cadastrar-questao-regex.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-questao-regex/cadastrar-questao-regex.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-questao-regex/cadastrar-questao-regex.component.ts", "TypeScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 22, 98
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-questoes-fechadas/cadastrar-questoes-fechadas.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-questoes-fechadas/cadastrar-questoes-fechadas.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 10, 51
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-questoes-fechadas/cadastrar-questoes-fechadas.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-questoes-fechadas/cadastrar-questoes-fechadas.component.ts", "TypeScript", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 21, 135
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-questoes/cadastrar-questoes.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-questoes/cadastrar-questoes.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 6, 73
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-questoes/cadastrar-questoes.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 8, 28
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-questoes/cadastrar-questoes.component.ts", "TypeScript", 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 2, 31, 177
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-teste-case/cadastrar-teste-case.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-teste-case/cadastrar-teste-case.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 3, 44
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-teste-case/cadastrar-teste-case.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/cadastrar-teste-case/cadastrar-teste-case.component.ts", "TypeScript", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 16, 104
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/dados-questao-base/dados-questao-base.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/dados-questao-base/dados-questao-base.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/dados-questao-base/dados-questao-base.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/dados-questao-base/dados-questao-base.component.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 12, 56
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/exportar-dados/exportar-dados.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/exportar-dados/exportar-dados.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 3, 7
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/exportar-dados/exportar-dados.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/exportar-dados/exportar-dados.component.ts", "TypeScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 117, 8, 166
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/listar-assuntos-admin/listar-assuntos-admin.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/leonardosoaresesilva/Documentos/projetos/32bits/src/app/admin/listar-assuntos-admin/listar-assuntos-admin.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
